station_id,name,lat,lon,elevation_m,country,tz,isd_id,wfo,nws_zone
KTUL,TULSA INTERNATIONAL AIRPORT,36.199,-95.878,194.9,US,America/Chicago,723560-13968,TSA,OKZ060
KTUS,TUCSON INTERNATIONAL AIRPORT,32.132,-110.956,777.6,US,America/Phoenix,722740-23160,TWC,AZZ033
KTYS,MC GHEE TYSON AIRPORT,35.818,-83.986,295.8,US,America/New_York,723260-13891,MRX,TNZ071
KYKM,YAKIMA AIR TERMINAL/MCALSR FIELD AP,46.564,-120.535,321.0,US,America/Los_Angeles,727810-24243,PDT,WAZ027
KYUM,YUMA INTL AIRPORT,32.65,-114.6,63.0,US,America/Phoenix,722800-99999,PSR,AZZ025
MMAA,GENERAL JUAN N ALVAREZ INTL / ACAPULCO INTL,16.757,-99.754,4.0,MX,America/Mexico_City,768056-99999,,
MMCS,ABRAHAM GONZALEZ INTL / CIUDAD JUAREZ INTL,31.636,-106.429,1189.9,MX,America/Ciudad_Juarez,760753-99999,,
MMCU,GENERAL R FIERRO VILLALOBOS INTL / CHIHUAHUA INTL,28.703,-105.965,1360.0,MX,America/Chihuahua,762253-99999,,
MMGL,DON MIGUEL HIDALGO Y COSTILLA INTL / GUADALAJARA INTL,20.522,-103.311,1528.9,MX,America/Mexico_City,766133-99999,,
MMHO,GENERAL IGNACIO P GARCIA INTL / HERMOSILLO INTL,29.096,-111.048,191.1,MX,America/Hermosillo,761600-99999,,
MMLO,GUANAJUATO INTL / LEON INTL,20.983,-101.483,1815.4,MX,America/Mexico_City,765773-99999,,
MMMD,LICENCIADO MANUEL CRESCENCIO REJON INT / MERIDA INTL,20.937,-89.658,11.6,MX,America/Merida,766440-99999,,
MMMX,LICENCIADO BENITO JUAREZ INTL / MEXICO CITY INTL,19.436,-99.072,2229.9,MX,America/Mexico_City,766793-99999,,
MMMY,GENERAL MARIANO ESCOBEDO INTL / MONTERREY INTL,25.778,-100.107,389.5,MX,America/Monterrey,763943-99999,,
MMMZ,GENERAL RAFAEL BUELNA INTL / MAZATLAN INTL,23.161,-106.266,11.6,MX,America/Mazatlan,764593-99999,,
MMOX,XOXOCOTLAN INTL / OAXACA INTL,17.0,-96.733,1520.6,MX,America/Mexico_City,767755-99999,,
MMPR,LICENCIADO GUSTAVO DIAZ ORDAZ INTL / PUERTO VALLARTA INTL,20.68,-105.254,7.0,MX,America/Mexico_City,766013-99999,,
MMSD,LOS CABOS INTL / SAN JOSE DEL CABO INTL,23.152,-109.721,114.0,MX,America/Mazatlan,764056-99999,,
MMTJ,GENERAL ABELARDO L RODRIGUEZ INTL / TIJUANA INTL,32.541,-116.97,149.0,MX,America/Tijuana,760013-99999,,
MMTM,GENERAL FRANCISCO JAVIER MINA INTL / TAMPICO INTL,22.296,-97.866,24.4,MX,America/Monterrey,765493-99999,,
MMUN,CANCUN INTL,21.037,-86.877,6.1,MX,America/Cancun,765906-99999,,
MMVA,C P A CARLOS ROVIROSA INTL / VILLAHERMOSA INTL,17.983,-92.817,14.0,MX,America/Mexico_City,767433-99999,,
MMVR,GENERAL HERIBERTO JARA INTL / VERACRUZ INTL,19.146,-96.187,27.4,MX,America/Mexico_City,766913-99999,,
PAFA,FAIRBANKS INTERNATIONAL,64.803,-147.876,131.1,US,America/Anchorage,702610-26411,AFG,AKZ222
PAJN,JUNEAU INTERNATIONAL,58.354,-134.556,5.9,US,America/Juneau,703810-25309,AJK,AKZ022
PANC,TED STEVENS ANCHORAGE INTL,61.169,-150.028,38.0,US,America/Anchorage,702730-26451,AFC,AKZ101
PHLI,LIHUE AIRPORT,21.98,-159.339,31.9,US,Pacific/Honolulu,911650-22536,HFO,HIZ001
PHNL,HONOLULU INTERNATIONAL AIRPORT,21.324,-157.939,1.9,US,Pacific/Honolulu,911820-22521,HFO,HIZ002
PHOG,KAHULUI AIRPORT,20.889,-156.435,14.0,US,Pacific/Honolulu,911900-22516,HFO,HIZ003
PHTO,HILO INTERNATIONAL AIRPORT,19.719,-155.049,8.8,US,Pacific/Honolulu,912850-21504,HFO,HIZ004
